Location,Location_coord,rating,Post_url
宮原眼科,"(24.1378278, 120.6835552)",4.2,https://www.instagram.com/p/CPQc8hPMYNE/
Fleet Street,"(24.1377642, 120.6820012)",4.2,https://www.instagram.com/p/CXqFEX-P2kw/
三佳早點（中區民權店）,"(24.1376644, 120.6806166)",4.3,https://www.instagram.com/p/B-zYIi4nj64/
五南親子館(台中店),"(24.13762, 120.683938)",4.2,https://www.instagram.com/p/BmpWQuiBl5Q/
手做鬆餅,"(24.13703469999999, 120.6807925)",4.5,https://www.instagram.com/p/CW-RpTYF3Ws/
斐得 米蘭手工PIZZA專賣店,"(24.1364153, 120.6809457)",4.7,https://www.instagram.com/p/CVYILz6sVYe/
阿風獅牛肉麵,"(24.13633909999999, 120.6829452)",4.2,https://www.instagram.com/p/CUZ3GdAhnUk/
瓦城泰式料理 - 台中新時代,"(24.1360755, 120.687597)",4.1,https://www.instagram.com/p/Bt-HwEAAaN8/
MO-MO-PARADISE 台中新時代牧場,"(24.1357726, 120.6877477)",4.5,https://www.instagram.com/p/BlNzRHsh_en/
喬e歐爸爸手工披薩吃到飽,"(24.1357726, 120.6877477)",4.4,https://www.instagram.com/p/CM1vvaFlysE/
布娜飛比利時餐酒館台中新時代店Bravo BeerI台中聚餐,"(24.1357126, 120.6876958)",4.6,https://www.instagram.com/p/CViOVISveTS/
花囍家日式料理製研所,"(24.1353079, 120.6872276)",4.6,https://www.instagram.com/p/CXkrqsrJllJ/
Mo-mo-paradise 壽喜燒牧場(大魯閤廣場四樓),"(24.1351483, 120.6876225)",4.5,https://www.instagram.com/p/CXlbinMgmCp/
易素緣,"(24.1346845, 120.6826691)",4.7,https://www.instagram.com/p/CFXUxcxF_6S/
台中肉員,"(24.134469, 120.6825714)",4.1,https://www.instagram.com/p/CU4CK2FBahk/
ISABATI 義薩芭蒂,"(22.9345247, 120.22639)",4.1,https://www.instagram.com/p/CXdQY0Lpvw9/
國泰萬巒豬腳大王,"(22.6778382, 120.4909259)",4.6,https://www.instagram.com/p/BeU-KUNBz29/
甲子園之館,"(22.6778267, 120.4887668)",4.1,https://www.instagram.com/p/CM9tWNshJ7r/
Amigos 早午餐,"(22.6773943, 120.4897037)",4.1,https://www.instagram.com/p/CXuYXtZPOBx/
爹說 你好,"(22.6773308, 120.4900404)",4.1,https://www.instagram.com/p/B_t7RtlDmLv/
一碗豆腐,"(22.6767317, 120.4923388)",4.2,https://www.instagram.com/p/CXZ9LFNpjVK/
心之田自然蔬食坊,"(22.6764132, 120.4873579)",4.2,https://www.instagram.com/p/Bvd_SDBh-dr/
小吉廚坊,"(22.6762832, 120.4891621)",4.4,https://www.instagram.com/p/Bhxuj1PBluH/
任家涼麵,"(22.6762831, 120.4873053)",4.3,https://www.instagram.com/p/BTrNnlJAfX4/
