Profile,Profile_followers,Likes,Date,Location,Location_coord,Post_url,Img_link
peilintung,1374.0,258.0,2021-12-14 10:07:25,新北耶誕城,"(25.0133916667, 121.4652116667)",https://www.instagram.com/p/CXcidt2lIoJ,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/266566425_455111936131462_8639100303455074701_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=8wKQN4T2rdMAX8UTJvv&tn=p3PuYwOUb0brXnrV&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8s7UFsTHgA2RN4bA-8JDylbr6ITpFZAQMSJvEdiz98Gg&oe=61C2B5F1&_nc_sid=83d603
kwai.food,634.0,253.0,2021-12-14 19:59:38,橫山書法藝術館/桃園市立美術館,"(25.0210399195, 121.2183587779)",https://www.instagram.com/p/CXdmPJhvkql,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/267950012_335332358429606_6516498365465709803_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-QJ-LQAi4OkAX8Ocjp5&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8whOfeNkp-1-DuoE-rjXgEtKgQ2klQMXtXWgRarwDocA&oe=61C1227B&_nc_sid=83d603
hannahbabyya,1921.0,250.0,2021-12-11 21:04:00,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)",https://www.instagram.com/p/CXV_N-OPf1b,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/266679405_421219706370903_5706128234975406588_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=JRIc3mz9ndcAX-wiuRi&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8RtrXKO_FtCdNefHswPbgvU78hT8BESjl0ZGdi9PQQXA&oe=61C22B3F&_nc_sid=4efc9f&ig_cache_key=MjcyNjM2MzE4NjUzNzAzNzE0Nw%3D%3D.2-ccb7-4
12345_candy,35.0,241.0,2021-12-14 13:36:57,"Taipei, Taiwan","(25.0458, 121.5339)",https://www.instagram.com/p/CXc6cRzvMDD,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266693733_1487318641668012_8663698174113552099_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=XKAxVEoLjiwAX-TDHU1&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-6jikX1ghSPa4HLBGbaLYrnyywcHVAUSWfMlgQTvQXwg&oe=61C236EC&_nc_sid=83d603
babynina.tw,1042.0,240.0,2021-12-14 22:28:13,"Taipei, Taiwan","(25.0458, 121.5339)",https://www.instagram.com/p/CXd3Pe8Prkc,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266536172_986130241980865_6391418570663775952_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=XJAZUnZEpjAAX9SGWE7&tn=p3PuYwOUb0brXnrV&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_xoASH3uRZYD4qimFjPX1pOiihEsw5sJwXsU9Tz7x8mQ&oe=61C1209E&_nc_sid=83d603
tiffanylaiii,814.0,234.0,2021-12-12 16:23:16,Plan B 歐陸街頭市集小酒館,"(25.04239, 121.5516)",https://www.instagram.com/p/CXYD4vuJODd,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266011026_653216675845348_6646673594635573762_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=iAo4Q1Jd0oUAX8rlCc4&tn=p3PuYwOUb0brXnrV&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_A0Fo772EllGNcfKKKPD8A4A-MlL7-F98zKnHHXVrv8w&oe=61C1CABB&_nc_sid=83d603
dorissdiadem,804.0,232.0,2021-12-13 22:31:43,廣三SOGO百貨,"(24.15528, 120.66178)",https://www.instagram.com/p/CXbS2LcPuXn,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266654044_607212363861844_4075406457798393084_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=AL4GB5hyAioAX8JGV1G&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT94Ed-pYSR1unb_flHmvui0H-1HiS53spAurrEeLLJfxw&oe=61C19991&_nc_sid=83d603
scarlett_funnybaby,947.0,229.0,2021-12-09 00:20:30,信義區商圈,"(25.0373852903, 121.5668806983)",https://www.instagram.com/p/CXOnUiLv6ni,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/265347125_974262756810366_6680594788930483733_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=CTj1tqBks2UAX-W7ulo&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-oiHcHCiUG0UMf3Ku9G4RDttZSEnX-oCbBgOd7GVc6_w&oe=61C0F940&_nc_sid=83d603
chabu1nihao,1361.0,226.0,2021-12-10 18:24:27,板橋市政府 新北耶誕城,"(25.0135340323, 121.4644479901)",https://www.instagram.com/p/CXTIKhzPuBo,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/266098606_618952345914784_7219690202393526683_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-F6TJjXuJQgAX-dH-yH&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_IuhocROGxXh9eAdtlgXX-AeIy05I6xcp2Is2Op49wAQ&oe=61C146DF&_nc_sid=83d603
__meiiing__,423.0,217.0,2021-12-12 23:04:02,新光三越 台中中港店,"(24.1649964815, 120.6434045451)",https://www.instagram.com/p/CXYxv-0PHXy,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/267140977_1089761668425576_3933103335603485415_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=poemkuUFQWEAX-H8uAI&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_neIEWML8aOLnUFMxplsLxFH5XIMegXHBrcb8zcTn8cg&oe=61C26FDC&_nc_sid=83d603
